review_rank,transaction_id,step,type,amount,oldbalanceOrg,oldbalanceDest,risk_probability,approve_cost,review_cost,block_cost,best_automatic_cost,review_value,best_automatic_action,review_priority,review_reason,isFraud
1,2276,719,CASH_OUT,1842163.57,1842163.57,446897.67,0.9999855220517394,1842136.899251146,5534.49071,2.1336599083208756,2.1336599083208756,-5532.357050091679,BLOCK,1842136.899251146,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-5,532.36.",1
2,391,652,CASH_OUT,2911505.23,2911505.23,474059.17,0.9999855220517394,2911463.0773779196,8742.51569,3.3722097664310833,3.3722097664310833,-8739.14348023357,BLOCK,2911463.0773779196,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-8,739.14.",1
3,2339,726,CASH_OUT,1539474.57,1539474.57,137245.4,0.9999830018904491,1539448.4018426083,4626.42371,2.093452591336521,2.093452591336521,-4624.330257408664,BLOCK,1539448.4018426083,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-4,624.33.",1
4,2354,726,CASH_OUT,3547010.54,3547010.54,134668.9,0.9999830018904491,3546950.247526263,10649.03162,4.823397898973383,4.823397898973383,-10644.208222101026,BLOCK,3546950.247526263,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-10,644.21.",1
5,137,638,CASH_OUT,5101855.95,5101855.95,145922.42,0.9999830018904491,5101769.228093649,15313.567850000001,6.93775250808667,6.93775250808667,-15306.630097491914,BLOCK,5101769.228093649,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-15,306.63.",1
6,2227,717,CASH_OUT,6512846.44,6512846.44,132217.8,0.9999830018904491,6512735.733922725,19546.53932,8.856486182032118,8.856486182032118,-19537.68283381797,BLOCK,6512735.733922725,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-19,537.68.",1
7,873,680,CASH_OUT,10000000.0,10000000.0,128711.99,0.9999830018904491,9999830.01890449,30008.0,13.598487640731351,13.598487640731351,-29994.40151235927,BLOCK,9999830.01890449,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,994.40.",1
8,2103,710,CASH_OUT,10000000.0,10000000.0,131207.41,0.9999830018904491,9999830.01890449,30008.0,13.598487640731351,13.598487640731351,-29994.40151235927,BLOCK,9999830.01890449,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-29,994.40.",1
9,1846,697,CASH_OUT,1226390.31,1226390.31,203175.25,0.9999823833197872,1226368.7050740926,3687.17093,1.7283940725905371,1.7283940725905371,-3685.4425359274096,BLOCK,1226368.7050740926,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-3,685.44.",1
10,854,678,CASH_OUT,1536733.52,1536733.52,244150.15,0.9999823833197872,1536706.4478570058,4618.20056,2.1657714395339536,2.1657714395339536,-4616.034788560466,BLOCK,1536706.4478570058,"High-risk transaction selected for human review. Risk probability: 100.00%. Estimated economic review value: ₹-4,616.03.",1
